"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.967068333E-1,-4.236092791E-4,1.834348589E-1,7.246697322E-3,1.835784343E-1
6.067628333E-1,2.083592117E-4,2.339622229E-1,5.167301744E-3,2.340193714E-1
6.168178333E-1,1.390802674E-3,2.842264771E-1,3.700166009E-3,2.842539637E-1
6.268738333E-1,1.227067783E-3,3.409714401E-1,6.725799292E-3,3.410399757E-1
6.369298333E-1,1.472610980E-3,3.950820863E-1,5.263989791E-3,3.951198971E-1
6.469858333E-1,6.192363799E-4,4.550683200E-1,3.290467430E-3,4.550806374E-1
6.570408334E-1,2.853361890E-3,5.159388781E-1,3.268096596E-3,5.159571184E-1
6.670968333E-1,1.912607811E-3,5.698894858E-1,4.370959010E-3,5.699094572E-1
6.771528333E-1,4.639152437E-3,6.243827939E-1,6.341431756E-3,6.244322292E-1
6.872078333E-1,4.159061238E-3,6.792461276E-1,8.242821321E-3,6.793088721E-1
6.972638333E-1,-2.258890308E-3,7.406048179E-1,6.666762289E-3,7.406382684E-1
7.073198333E-1,-1.885998528E-3,8.064681888E-1,8.202889934E-3,8.065121102E-1
7.173748333E-1,9.771659970E-4,8.876642585E-1,1.110094227E-2,8.877342066E-1
7.274308334E-1,2.990504727E-4,9.793826342E-1,1.325421594E-2,9.794723619E-1
7.374868334E-1,-1.843124628E-4,1.091321230E0,1.271013170E-2,1.091395258E0
7.475418333E-1,4.958091304E-4,1.219922543E0,1.360462792E-2,1.219998501E0
7.575978333E-1,3.426773474E-4,1.367014289E0,1.594634540E-2,1.367107336E0
7.676538333E-1,2.437909134E-3,1.538416147E0,1.449571736E-2,1.538486370E0
7.777088333E-1,1.576356590E-5,1.740183115E0,1.520891301E-2,1.740249576E0
7.877648333E-1,-4.135161638E-3,1.971381664E0,1.620946638E-2,1.971452640E0
7.978208333E-1,4.002014175E-4,2.217069149E0,1.388585754E-2,2.217112669E0
8.078768333E-1,5.896212533E-3,2.504340172E0,1.591768675E-2,2.504397699E0
8.179318334E-1,9.435819462E-3,2.841619253E0,1.404654980E-2,2.841669636E0
8.279878334E-1,2.033362165E-2,3.233768702E0,1.499588415E-2,3.233867398E0
8.380438334E-1,2.330917120E-2,3.691616535E0,1.518576778E-2,3.691721356E0
8.480988333E-1,2.070109174E-2,4.233378410E0,1.234593242E-2,4.233447026E0
8.581548333E-1,1.847974956E-2,4.886373997E0,9.759737179E-3,4.886418688E0
8.682108333E-1,1.730096340E-2,5.645824432E0,6.362584885E-3,5.645854526E0
8.782658333E-1,2.685079351E-2,6.522988796E0,3.847228829E-3,6.523045194E0
8.883218333E-1,4.463649541E-2,7.489378929E0,2.046310529E-2,7.489539899E0
8.983778333E-1,4.996468127E-2,8.513319969E0,3.068884462E-2,8.513521902E0
9.084328334E-1,4.591774195E-2,9.610044479E0,1.325282082E-2,9.610163317E0
9.184888334E-1,3.762412816E-2,1.076346779E1,-3.003381193E-3,1.076353397E1
9.285448334E-1,2.297509462E-2,1.202659130E1,-1.660158671E-2,1.202662470E1
9.385998333E-1,4.985707812E-3,1.358591557E1,-4.596799985E-2,1.358599425E1
9.486558333E-1,9.018164128E-3,1.516653347E1,-8.895038068E-2,1.516679699E1
9.587118333E-1,3.784875572E-1,1.667738152E1,-8.426827937E-2,1.668188863E1
9.687678333E-1,4.280855656E0,6.091825962E0,3.294944167E-1,7.452827334E0
9.788228333E-1,1.025085807E0,-2.527293682E0,-3.289010525E-1,2.747032976E0
9.888788333E-1,6.584716439E-1,-1.957647204E0,-3.638144135E-1,2.097219209E0
9.989348333E-1,-1.862758696E-1,-5.630782843E-1,-4.887081385E-1,7.684995110E-1
1.008989833E0,-7.087985873E-1,2.973693609E-1,-5.176199675E-1,9.266900263E-1
1.019045833E0,-1.135055304E0,1.105943441E0,-4.192111194E-1,1.639267946E0
1.029101833E0,-6.136347651E-1,8.081895709E-1,-8.411546052E-2,1.018230533E0
1.039156833E0,4.003409147E-1,2.769233659E-3,4.658555984E-2,4.030517722E-1
1.049212833E0,3.599474132E-1,-1.282127500E-1,1.029772013E-1,3.957334375E-1
1.059268833E0,-4.368978366E-2,1.028319150E-1,9.034635127E-2,1.436859879E-1
1.069323833E0,-2.091643661E-1,-6.959704310E-2,4.185144790E-4,2.204396870E-1
1.079379833E0,-4.119798541E-2,-1.709090173E-1,5.944573786E-3,1.759048156E-1
1.089435833E0,4.113399982E-2,2.277347818E-2,2.087682486E-3,4.706374048E-2
1.099490833E0,1.779725403E-2,7.170773298E-2,-1.933157910E-3,7.390858082E-2
1.109546833E0,-2.438826486E-3,-2.377852798E-2,3.987831064E-3,2.423363497E-2
1.119602833E0,-5.333682522E-3,2.978783101E-3,3.117243759E-3,6.858463871E-3
1.129658833E0,3.391926177E-3,1.040247176E-2,-2.137874486E-3,1.114841196E-2
1.139713833E0,-4.668663722E-3,-9.354188107E-3,-8.250361308E-3,1.331787212E-2
1.149769833E0,6.037317216E-3,2.272151411E-3,-6.464776583E-3,9.132645152E-3
1.159825833E0,3.953659907E-3,2.907598391E-4,-3.053533845E-3,5.004002087E-3
1.169880833E0,-6.496731192E-3,3.978085704E-3,2.123780083E-3,7.908421074E-3
1.179936833E0,-4.081243649E-3,3.492590971E-3,4.325149115E-3,6.896495942E-3
1.189992833E0,-1.745810732E-4,-5.774954334E-4,3.798888531E-3,3.846496275E-3
1.200047542E0,-2.849726472E-3,-1.489894465E-3,1.438529231E-3,3.522796166E-3
1.210103542E0,-4.085676279E-3,1.715578139E-3,1.037908252E-3,4.551177051E-3
1.220159542E0,-4.684621003E-3,5.378755741E-3,1.854965929E-3,7.370046530E-3
1.230214542E0,-5.707562901E-3,5.447127856E-3,1.067772508E-3,7.961633895E-3
1.240270542E0,-8.465798572E-3,9.894340299E-3,2.237965353E-3,1.321272888E-2
1.250326542E0,-5.539637525E-3,6.177965552E-3,-4.498318769E-3,9.438734767E-3
1.260382542E0,-7.305014879E-4,2.221574076E-3,-4.877819214E-3,5.409449517E-3
1.270437542E0,-3.064327873E-3,4.024114460E-3,-4.129281733E-3,6.529515306E-3
1.280493542E0,-6.531231105E-3,4.153277725E-3,7.638242096E-5,7.740318462E-3
1.290549542E0,-7.884399965E-4,2.508576028E-3,7.450422272E-4,2.733071393E-3
1.300604542E0,2.337045968E-3,2.217199653E-4,2.658789512E-3,3.546844410E-3
1.310660542E0,3.229301423E-3,-2.299115062E-3,3.209430259E-3,5.100466678E-3
1.320716542E0,4.273526371E-3,2.795457840E-5,2.775601577E-3,5.095858437E-3
1.330771542E0,4.589259624E-3,-4.540881142E-3,1.711273100E-3,6.679023961E-3
1.340827542E0,1.858720556E-3,-2.513276413E-4,1.719529275E-3,2.544560594E-3
1.350883542E0,-8.662021719E-4,4.572014324E-3,-2.342937980E-3,5.209892471E-3
1.360938542E0,-1.089375466E-3,2.236953937E-3,-8.489044849E-4,2.628942876E-3
1.370994542E0,1.495970413E-3,6.270625629E-3,-1.885689329E-3,6.716732650E-3
1.381050542E0,4.042484798E-3,8.214999922E-3,-2.763733733E-3,9.563792720E-3
1.391105542E0,-1.002629753E-3,8.886824362E-3,1.112292521E-4,8.943896556E-3
1.401161542E0,3.931326792E-4,6.797575392E-3,1.067836769E-3,6.892159304E-3
1.411217542E0,-1.350317616E-3,8.274253458E-3,2.792806830E-3,8.836650833E-3
1.421273542E0,-2.736016177E-4,2.093588933E-3,1.647114754E-3,2.677864724E-3
1.431328542E0,9.890524670E-4,3.174232319E-3,1.487385482E-3,3.642292021E-3
1.441384542E0,7.618851960E-4,3.531895578E-3,-8.535329252E-4,3.712583182E-3
1.451440542E0,-4.924060777E-3,3.640440293E-3,2.771929372E-3,6.721813186E-3
1.461495542E0,-1.859561540E-3,2.023368143E-3,2.412402537E-3,3.656729927E-3
1.471551542E0,-1.205972396E-3,3.186834976E-3,-2.043271670E-3,3.973065026E-3
1.481607542E0,-3.428417258E-4,-1.061704941E-3,-2.455795184E-3,2.697348293E-3
1.491662542E0,6.096437573E-5,7.612323388E-4,-1.193965552E-3,1.417302039E-3
1.501718542E0,1.291611232E-3,5.789101124E-5,-5.430888850E-4,1.402339645E-3
1.511774542E0,9.975023568E-5,1.280866563E-4,1.095122658E-3,1.107090754E-3
1.521829542E0,-1.131961588E-3,-2.429612912E-3,2.058121376E-3,3.379381532E-3
1.531885542E0,1.798644662E-4,-3.327012062E-3,-1.340176677E-3,3.591299767E-3
1.541941542E0,4.656371661E-3,-2.536586486E-3,6.691785529E-4,5.344517563E-3
1.551997542E0,2.413480543E-3,-2.481634729E-3,-8.963746950E-5,3.462865018E-3
1.562052542E0,2.955167554E-3,-3.489108756E-3,-2.331220079E-3,5.132395371E-3
1.572108542E0,1.526213251E-3,3.068493679E-4,-2.276815008E-3,2.758146117E-3
1.582164542E0,1.167319715E-5,-3.477558494E-4,-3.157256171E-3,3.176371660E-3
1.592219542E0,-2.201124560E-3,-7.032398134E-4,-3.114637220E-3,3.878203267E-3
1.602275542E0,5.011847243E-4,9.798780084E-4,-2.435531002E-3,2.672668760E-3
1.612331542E0,-5.732788704E-4,9.398851544E-4,-1.806984656E-3,2.115945725E-3
1.622386542E0,6.192848086E-4,1.819527708E-3,2.557403874E-3,3.199141967E-3
1.632442542E0,1.899219304E-1,4.762948155E-1,3.082167357E-3,5.127734302E-1
1.642498542E0,5.251715779E-1,1.559007168E0,-9.440282360E-3,1.645113265E0
1.652553542E0,3.435288668E-1,7.627972364E-1,-1.719840057E-2,8.367601157E-1
1.662609542E0,1.803200133E-2,-2.732753009E-2,1.405698992E-2,3.563068815E-2
1.672665542E0,-1.410761029E-1,-2.517132461E-1,1.045273617E-2,2.887408609E-1
1.682720542E0,-3.465031832E-2,-9.507969767E-2,1.538070384E-3,1.012084934E-1
1.692776542E0,1.377205551E-2,1.309941243E-2,-8.275330998E-3,2.073029720E-2
1.702832542E0,-8.056696504E-2,-2.090124935E-1,1.306706108E-4,2.240028468E-1
1.712888542E0,-1.711876243E-1,-4.547964931E-1,5.048035644E-3,4.859738012E-1
1.722943542E0,-2.512305379E-1,-6.238930821E-1,7.865127176E-3,6.726226441E-1
1.732999542E0,-2.403950542E-1,-5.647923946E-1,1.301337685E-2,6.139621968E-1
1.743055542E0,-8.919114619E-2,-2.106505781E-1,3.859826364E-3,2.287872918E-1
1.753110542E0,6.388463825E-2,1.365692317E-1,-1.146177994E-3,1.507770400E-1
1.763166542E0,6.245398521E-2,1.314959228E-1,9.325705469E-5,1.455736469E-1
