"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.960844167E-1,-3.275610209E-2,3.053773699E-2,-2.073463601E-1,2.121273878E-1
6.061404167E-1,-4.449497223E-2,4.729548703E-2,-2.166557121E-1,2.261777249E-1
6.161964167E-1,-3.069145024E-2,3.535095478E-2,-2.326741594E-1,2.373371433E-1
6.262524167E-1,-3.467164993E-2,2.019668029E-2,-2.407099148E-1,2.440313346E-1
6.363074167E-1,-2.910685480E-2,7.161011919E-5,-2.555725503E-1,2.572246928E-1
6.463634167E-1,-3.852496505E-2,-1.546259177E-2,-2.710687681E-1,2.742289950E-1
6.564194167E-1,-3.002077460E-2,-1.215300833E-2,-2.979203153E-1,2.996755859E-1
6.664754167E-1,-2.915246308E-2,-1.867843704E-2,-3.159800255E-1,3.178712422E-1
6.765304167E-1,-3.150070488E-2,-2.003634781E-2,-3.416761994E-1,3.437097248E-1
6.865864167E-1,-4.367694676E-2,-3.803632054E-3,-3.723043536E-1,3.748768798E-1
6.966424167E-1,-3.314786553E-2,1.779850875E-2,-4.162031291E-1,4.179002423E-1
7.066974167E-1,-4.081239581E-2,3.310123856E-2,-4.678761432E-1,4.708178300E-1
7.167534167E-1,-3.660532415E-2,3.545554685E-2,-5.223097010E-1,5.247899287E-1
7.268094167E-1,-4.250574946E-2,3.234039703E-2,-5.993682557E-1,6.017432559E-1
7.368654167E-1,-5.371310771E-2,2.285791716E-2,-6.816755636E-1,6.841704147E-1
7.469204167E-1,-5.622857988E-2,-3.099389747E-3,-7.683348079E-1,7.703957661E-1
7.569764167E-1,-6.383814633E-2,-1.294873672E-2,-8.563346726E-1,8.588085061E-1
7.670324167E-1,-9.589141309E-2,-2.192851593E-2,-9.764329737E-1,9.813752468E-1
7.770884167E-1,-1.062404001E-1,-1.692392060E-2,-1.142461739E0,1.147515693E0
7.871434167E-1,-1.487215912E-1,-8.791256757E-3,-1.330163208E0,1.338480317E0
7.971994167E-1,-1.927645737E-1,-1.098856274E-2,-1.550243635E0,1.562220937E0
8.072554167E-1,-2.679235142E-1,-4.323371868E-3,-1.792074534E0,1.811996919E0
8.173114167E-1,-3.652030563E-1,3.400101084E-3,-2.074112057E0,2.106021286E0
8.273664167E-1,-5.458966380E-1,2.110738870E-2,-2.363212432E0,2.425535335E0
8.374224167E-1,-7.766078871E-1,1.357173014E-2,-2.714383925E0,2.823328549E0
8.474784167E-1,-1.042432251E0,-2.817444317E-4,-3.130561838E0,3.299557925E0
8.575344167E-1,-1.262518525E0,-2.959832698E-2,-3.664396840E0,3.875904189E0
8.675894167E-1,-1.428250251E0,-2.374479359E-2,-4.264598908E0,4.497473340E0
8.776454167E-1,-1.699506093E0,-4.070608612E-2,-4.881853212E0,5.169377983E0
8.877014167E-1,-1.929013985E0,-5.041525980E-2,-5.542244180E0,5.868569434E0
8.977574167E-1,-2.024829677E0,-4.584538668E-2,-5.992406695E0,6.325422912E0
9.078124167E-1,-2.116270190E0,-5.279775350E-3,-6.029509032E0,6.390117883E0
9.178684167E-1,-1.526157053E0,-5.560778830E-2,-5.329745253E0,5.544225107E0
9.279244167E-1,-1.198604584E0,6.901373617E-2,5.788728878E0,5.911919981E0
9.379796250E-1,-8.208755781E0,-3.363260702E-1,4.200742168E1,4.280327397E1
9.480356250E-1,-5.693532699E0,-3.602900796E-2,-4.824197327E0,7.462606283E0
9.580916250E-1,-6.871846640E-1,-4.841990477E-1,-1.122272706E1,1.125416697E1
9.681476250E-1,-1.320166662E0,-2.983412417E-1,-8.785788842E0,8.889428165E0
9.782026250E-1,-1.428147340E0,-1.134061629E-1,-8.529569115E0,8.649047061E0
9.882586250E-1,-1.905928009E0,3.055797292E-1,-5.911670095E0,6.218824958E0
9.983146250E-1,-2.331450211E0,4.544423845E-1,3.248941643E0,4.024649024E0
1.008370625E0,-1.507495153E-1,5.962935705E-2,1.649980761E1,1.650060400E1
1.018425625E0,4.058996042E-1,-9.571438864E-2,2.202212858E0,2.241351646E0
1.028481625E0,-4.974610079E-2,1.006629238E-1,-5.402295166E0,5.403461924E0
1.038537625E0,9.195031665E-1,6.144948564E-2,-2.942735238E0,3.083658994E0
1.048593625E0,3.956854321E-1,1.340556415E-1,1.410437878E0,1.471010837E0
1.058648625E0,-5.760375729E-1,-1.886297151E-1,1.862473841E0,1.958624329E0
1.068704625E0,6.382747516E-3,-6.562275309E-2,-7.522893173E-1,7.551730279E-1
1.078760625E0,-3.030520510E-1,6.542449594E-3,1.907122010E-1,3.581263644E-1
1.088816625E0,-1.169856821E-1,3.759595212E-2,-1.417423546E-2,1.236932269E-1
1.098871625E0,8.822973333E-3,3.349007383E-2,9.540200114E-2,1.014937029E-1
1.108927625E0,9.641594488E-2,7.376324672E-2,7.086825371E-2,1.405679920E-1
1.118983625E0,1.777241463E-1,1.169547284E-1,-7.416608334E-3,2.128832703E-1
1.129039625E0,1.712268665E-1,1.092285465E-1,5.799093068E-2,2.112166263E-1
1.139094625E0,7.225652888E-2,4.356373005E-2,2.834730148E-2,8.900771901E-2
1.149150625E0,-1.636544298E-2,-2.120752227E-2,6.845686197E-2,7.351141868E-2
1.159206625E0,-8.532315552E-2,-4.296775259E-2,4.480136633E-2,1.055150750E-1
1.169261625E0,-1.352384236E-1,-5.364443947E-2,6.829606354E-2,1.607218386E-1
1.179317625E0,-1.663919135E-1,-5.803712368E-2,7.248500884E-2,1.905482960E-1
1.189373625E0,-1.072570482E-1,-9.590895474E-3,5.887035191E-2,1.227264356E-1
1.199429625E0,4.874604419E-3,5.241641454E-2,4.839623451E-2,7.150830579E-2
1.209484625E0,8.626192600E-2,7.391205836E-2,3.058210731E-2,1.176408838E-1
1.219540625E0,1.233426288E-1,7.330069542E-2,5.304243207E-2,1.529702442E-1
1.229596625E0,1.158901697E-1,8.463132028E-2,4.465986371E-2,1.502913678E-1
1.239652625E0,7.742926821E-2,7.847054768E-2,4.584684849E-2,1.193936847E-1
1.249707625E0,-7.929664962E-3,3.043212622E-2,4.598133445E-2,5.570706428E-2
1.259763625E0,-9.724756513E-2,-3.328202259E-2,5.839029551E-2,1.182125567E-1
1.269819625E0,-1.251281857E-1,-4.852282673E-2,7.095888555E-2,1.518113665E-1
1.279875625E0,-1.162646108E-1,-3.735219631E-2,5.689925551E-2,1.347225726E-1
1.289930625E0,-7.665220980E-2,-2.095759034E-2,6.035262108E-2,9.978587440E-2
1.299986625E0,-2.179666579E-2,8.972406238E-3,6.186354160E-2,6.620193723E-2
1.310042625E0,5.491083674E-2,6.429302316E-2,5.408966839E-2,1.003717343E-1
1.320098625E0,1.126140844E-1,8.506777838E-2,3.418399215E-2,1.452136503E-1
1.330153625E0,9.934371885E-2,7.227929648E-2,4.899732828E-2,1.322656772E-1
1.340209625E0,4.965119317E-2,5.025323711E-2,4.105271637E-2,8.170651348E-2
